card_id,rationale_id,domain,decision_point,type,prompt,answer,choices,source_ids
CRACK-009-Q1,CRACK-009,Cracked Teeth And Root Fracture,When is monitoring a visible cracked vital posterior tooth reasonable?,short_answer,What findings make monitoring a visible cracked vital posterior tooth more defensible?,"Low-risk findings: vital pulp, no biting pain, no caries or marginal breakdown driving the crack, normal probing, no apical/furcation bone change, no radiographic crack evidence, no progression, and ability to recall the patient.",,S63; S64; S65; S113; S133; S134; S157
CRACK-009-Q2,CRACK-009,Cracked Teeth And Root Fracture,When is monitoring a visible cracked vital posterior tooth reasonable?,multiple_choice,Which visible cracked tooth is least appropriate for simple monitoring?,Vital molar with pain on release and caries undermining the cracked marginal ridge,Asymptomatic vital premolar with shallow enamel crack and normal probing; Vital molar with pain on release and caries undermining the cracked marginal ridge; Asymptomatic vital molar with intact restoration and stable radiographs; Patient able to return for documented crack recall,S63; S64; S65; S113; S133; S134; S157
CRACK-010-Q1,CRACK-010,Cracked Teeth And Root Fracture,How fast should a cracked tooth receive definitive restoration after root canal treatment?,short_answer,Why is a temporary restoration only a bridge after RCT in a structurally at-risk cracked posterior tooth?,"It may seal briefly, but it does not provide durable cusp bracing, definitive marginal seal, fracture protection, or long-term load control. Definitive restoration and cuspal protection are part of the prognosis plan.",,S52; S54; S55; S63; S64; S65; S132; S146; S147
CRACK-010-Q2,CRACK-010,Cracked Teeth And Root Fracture,How fast should a cracked tooth receive definitive restoration after root canal treatment?,multiple_choice,Which cracked-tooth scenario most strongly calls for prompt definitive cuspal protection after RCT?,"Root-filled mandibular molar with MOD structure loss, undermined cusps, and a durable temporary only","Low-risk vital tooth with a superficial visible crack and no symptoms; Root-filled mandibular molar with MOD structure loss, undermined cusps, and a durable temporary only; Tooth with confirmed split root and a narrow deep periodontal defect; Anterior tooth with a craze line limited to enamel",S52; S54; S55; S63; S64; S65; S132; S146; S147
CRACK-011-Q1,CRACK-011,Cracked Teeth And Root Fracture,When can conservative adhesive cuspal protection be considered for a vital cracked posterior tooth?,short_answer,What conditions make conservative adhesive cuspal protection reasonable for a vital cracked posterior tooth?,"Vital low-risk status, symptoms compatible with reversible pulpitis or crack-related biting pain, no deep isolated probing or apical/furcation bone change, crack apparently limited to maintainable coronal enamel/dentin, favorable isolation, and a design that braces cusps while preserving follow-up.",,S63; S64; S65; S157
CRACK-011-Q2,CRACK-011,Cracked Teeth And Root Fracture,When can conservative adhesive cuspal protection be considered for a vital cracked posterior tooth?,multiple_choice,Which case best fits conservative adhesive cuspal protection rather than immediate RCT or extraction?,"Vital molar with cold/biting pain, no spontaneous pain, normal probing, and a coronal enamel-dentin crack that can be isolated","Vital molar with cold/biting pain, no spontaneous pain, normal probing, and a coronal enamel-dentin crack that can be isolated; Root-filled molar with chamber-floor crack extension and delayed crown plan; Premolar with a narrow 9 mm isolated periodontal defect and suspected VRF; Molar with swelling, sinus tract, necrotic pulp, and apical radiolucency",S63; S64; S65; S157
TRAUMA-001-Q1,TRAUMA-001,Trauma,What is the board triage for an avulsed permanent tooth?,short_answer,What is the first board-level action for an avulsed permanent tooth when safe immediate replantation is possible?,"Replant the permanent tooth immediately, handling it by the crown, then arrange urgent dental stabilization and follow-up.",,S34; S35; S74
TRAUMA-001-Q2,TRAUMA-001,Trauma,What is the board triage for an avulsed permanent tooth?,multiple_choice,Which avulsed tooth should not be replanted?,Primary incisor,Permanent maxillary incisor with 20 minutes dry time; Permanent incisor stored in milk; Primary incisor; Permanent incisor replanted at the scene,S34; S35; S74
TRAUMA-002-Q1,TRAUMA-002,Trauma,How should traumatic dental injuries be splinted and followed?,short_answer,Why is a passive flexible splint preferred for most replanted or luxated permanent teeth?,"It stabilizes the tooth while allowing physiologic mobility, supporting periodontal ligament healing and reducing risks associated with unnecessary rigid immobilization.",,S34; S35; S36
TRAUMA-002-Q2,TRAUMA-002,Trauma,How should traumatic dental injuries be splinted and followed?,multiple_choice,Which injury pattern most justifies a more rigid splint for about 4 weeks rather than a short flexible splint alone?,Avulsion with associated alveolar bone fracture,Simple concussion; Avulsion with associated alveolar bone fracture; Uncomplicated crown fracture; Subluxation with no displacement,S34; S35; S36
TRAUMA-003-Q1,TRAUMA-003,Trauma,When should endodontic treatment start after avulsion or severe luxation?,short_answer,Why is early root canal treatment recommended for a closed-apex permanent tooth after avulsion and replantation?,Closed-apex teeth have poor revascularization potential after avulsion; early RCT reduces infected necrotic pulp as a driver of inflammatory root resorption.,,S26; S34; S35; S36; S43
TRAUMA-003-Q2,TRAUMA-003,Trauma,When should endodontic treatment start after avulsion or severe luxation?,multiple_choice,Which finding is the weakest sole reason to start root canal treatment immediately in an immature traumatized permanent tooth?,One early negative cold test after trauma,External inflammatory resorption; Sinus tract of endodontic origin; One early negative cold test after trauma; Increasing radiographic signs of infection,S26; S34; S35; S36; S43
TRAUMA-004-Q1,TRAUMA-004,Trauma,What are the primary-tooth trauma boundaries?,short_answer,Why should an avulsed primary incisor not be replanted?,Replantation creates treatment burden and aspiration risk and can damage the developing permanent tooth or its eruption path; the child needs follow-up instead.,,S74; S35
TRAUMA-004-Q2,TRAUMA-004,Trauma,What are the primary-tooth trauma boundaries?,multiple_choice,Which primary-tooth trauma statement matches IADT 2020 guidance?,"Observation is often appropriate unless there is aspiration risk, occlusal interference, severe pain, infection, or fracture concerns","Replant avulsed primary incisors if the dry time is short; Extract every intruded primary tooth displaced toward the permanent tooth germ immediately; Observation is often appropriate unless there is aspiration risk, occlusal interference, severe pain, infection, or fracture concerns; Routine systemic antibiotics are indicated for all primary luxation injuries",S74; S35
TRAUMA-005-Q1,TRAUMA-005,Trauma,How should crown-root and root fractures be triaged?,short_answer,"In a root-fractured permanent incisor, which segment usually needs endodontic treatment if necrosis later develops?",The coronal segment usually becomes necrotic and is treated; the apical segment rarely requires endodontic treatment.,,S36; S8
TRAUMA-005-Q2,TRAUMA-005,Trauma,How should crown-root and root fractures be triaged?,multiple_choice,Which emergency action is most appropriate for many displaced root fractures of permanent teeth?,"Reposition the coronal segment, verify radiographically, splint flexibly, and monitor","Immediate root canal treatment of both fragments; Reposition the coronal segment, verify radiographically, splint flexibly, and monitor; Extract the apical segment at the first visit; Ignore follow-up if the tooth is comfortable after splinting",S36; S8
TRAUMA-006-Q1,TRAUMA-006,Trauma,"How should intrusion, ankylosis, and decoronation be planned?",short_answer,What is the initial IADT repositioning approach for an immature intruded permanent tooth?,"Allow spontaneous re-eruption initially; if no re-eruption occurs within about 4 weeks, initiate orthodontic repositioning.",,S35; S36; S43; S75
TRAUMA-006-Q2,TRAUMA-006,Trauma,"How should intrusion, ankylosis, and decoronation be planned?",multiple_choice,A mature permanent incisor is intruded 8 mm. Which board-level management is most consistent with IADT guidance?,Surgical repositioning and early endodontic treatment when position allows,Wait indefinitely for spontaneous re-eruption; Surgical repositioning and early endodontic treatment when position allows; Immediate decoronation at the emergency visit; No follow-up if the tooth is asymptomatic,S35; S36; S43; S75
ANES-001-Q1,ANES-001,Anesthesia,Why does the mandibular molar hot tooth often need more than a routine IANB?,short_answer,Why can a patient with a mandibular molar hot tooth have lip numbness but still feel endodontic access?,"Lip numbness confirms soft-tissue anesthesia, not pulpal anesthesia. Inflamed pulps can have sensitized nerves and altered excitability, so IANB can fail at the tooth even when the block appears clinically accurate.",,S17; S18; S19
ANES-001-Q2,ANES-001,Anesthesia,Why does the mandibular molar hot tooth often need more than a routine IANB?,multiple_choice,What is the best board-level next step when a mandibular molar with symptomatic irreversible pulpitis remains cold-responsive after lip numbness from an IANB?,Use/plan supplemental local anesthesia and reassess pulpal anesthesia,Start access because the lip is numb; Prescribe antibiotics and defer all local care; Use/plan supplemental local anesthesia and reassess pulpal anesthesia; Assume the patient is exaggerating,S17; S18; S19
ANES-002-Q1,ANES-002,Anesthesia,How should supplemental anesthesia be framed after failed IANB in irreversible pulpitis?,short_answer,Why is intrapulpal anesthesia considered a rescue technique rather than the first supplemental injection?,"It requires pulp exposure and back pressure to work, and it is painful. Earlier supplemental options such as buccal infiltration, intraligamentary, or intraosseous injection are usually attempted first when appropriate.",,S17; S18; S19; S20; S68; S69; S70
ANES-002-Q2,ANES-002,Anesthesia,How should supplemental anesthesia be framed after failed IANB in irreversible pulpitis?,multiple_choice,Which sequence best matches board framing after failed IANB for a hot mandibular molar?,"Supplement with local techniques such as buccal infiltration, PDL, or intraosseous anesthesia; use intrapulpal after exposure if needed","Repeat identical IANB indefinitely; Supplement with local techniques such as buccal infiltration, PDL, or intraosseous anesthesia; use intrapulpal after exposure if needed; Give antibiotics to improve anesthetic penetration; Proceed because soft tissue is numb",S17; S18; S19; S20; S68; S69; S70
ANES-003-Q1,ANES-003,Anesthesia,How should maximum local anesthetic dose be calculated during difficult endodontic anesthesia?,short_answer,Why is cartridge counting alone unsafe when multiple dental local anesthetics are used?,"Different anesthetics and concentrations contain different milligrams per cartridge, and toxicity is cumulative. Convert each cartridge to milligrams, add all agents, and apply the patient-specific lower limit.",,S17; S69; S70; S71; S99; S103
ANES-003-Q2,ANES-003,Anesthesia,How should maximum local anesthetic dose be calculated during difficult endodontic anesthesia?,multiple_choice,"A hot mandibular molar still hurts after several injections, and the patient is nearing the calculated dose limit. What is the best board-level move?","Stop and stage, refer, or change the care setting rather than exceed dose limits","Continue adding cartridges until access is possible; Stop and stage, refer, or change the care setting rather than exceed dose limits; Use oral sedation so local anesthesia no longer matters; Prescribe antibiotics to improve anesthesia",S17; S69; S70; S71; S99; S103
ANES-004-Q1,ANES-004,Anesthesia,How should vasoconstrictors be limited in medically complex endodontic patients?,short_answer,"What is the common adult epinephrine caution dose for a patient with cardiovascular risk, and what does it equal in 1:100,000 cartridges?","0.04 mg epinephrine; about two cartridges of 1:100,000 epinephrine-containing local anesthetic.",,S68; S69; S70
ANES-004-Q2,ANES-004,Anesthesia,How should vasoconstrictors be limited in medically complex endodontic patients?,multiple_choice,Which plan best matches vasoconstrictor management for a stable adult cardiac-risk patient needing endodontic anesthesia?,"Use the minimum effective vasoconstrictor, aspirate carefully, inject slowly, and track the adult 0.04 mg caution dose","Use unlimited 1:50,000 epinephrine because pain is severe; Use the minimum effective vasoconstrictor, aspirate carefully, inject slowly, and track the adult 0.04 mg caution dose; Avoid all local anesthesia and prescribe antibiotics; Ignore vasoconstrictor because only lidocaine milligrams matter",S68; S69; S70
ANES-005-Q1,ANES-005,Anesthesia,How should pediatric local anesthetic dosing be handled in endodontic emergencies?,short_answer,Why is adult cartridge counting unsafe for pediatric local anesthesia?,"Children need weight-based dosing. Different anesthetic concentrations and cartridge volumes contain different milligrams, and a routine adult cartridge count can exceed a child's patient-specific maximum dose.",,S99; S69; S70; S71
ANES-005-Q2,ANES-005,Anesthesia,How should pediatric local anesthetic dosing be handled in endodontic emergencies?,multiple_choice,"A 20 kg child needs 2% lidocaine for urgent endodontic care. Using AAPD's 4.4 mg/kg dental maximum and 34 mg per 1.7 mL cartridge, which ceiling is closest?",About 2.5 cartridges,About 1 cartridge; About 2.5 cartridges; About 5 cartridges; The same as a healthy adult maximum,S99; S69; S70; S71
ANES-006-Q1,ANES-006,Anesthesia,How should pregnancy change endodontic anesthesia and analgesia decisions?,short_answer,Why should urgent endodontic care not be postponed solely because a patient is pregnant?,"Needed dental treatment and local anesthesia are acceptable during pregnancy, and untreated odontogenic pain or infection may pose more risk than appropriate source control with pregnancy-aware medication choices.",,S100; S101; S102; S68; S69
ANES-006-Q2,ANES-006,Anesthesia,How should pregnancy change endodontic anesthesia and analgesia decisions?,multiple_choice,A patient at 28 weeks gestation has severe endodontic pain after diagnosis. Which analgesic frame is most appropriate?,"Acetaminophen when clinically indicated, while avoiding NSAIDs unless specifically advised","Routine ibuprofen until the tooth can be treated; Acetaminophen when clinically indicated, while avoiding NSAIDs unless specifically advised; No local anesthesia because pregnancy contraindicates epinephrine; Antibiotics instead of endodontic source control",S100; S101; S102; S68; S69
ANES-007-Q1,ANES-007,Anesthesia,How should local anesthetic systemic toxicity be recognized and managed in dental endodontic care?,short_answer,Name three immediate actions when local anesthetic systemic toxicity is suspected in a dental office.,"Stop local anesthetic injection, activate EMS/emergency response, support airway with oxygen and ventilation, control seizures, begin CPR if needed, and use 20% lipid emulsion rescue according to the emergency checklist when available.",,S103; S99; S69; S70; S71; S72
ANES-007-Q2,ANES-007,Anesthesia,How should local anesthetic systemic toxicity be recognized and managed in dental endodontic care?,multiple_choice,Which finding after repeated local anesthetic injections should trigger concern for LAST rather than another cartridge?,"Tinnitus, confusion, tremor, and falling blood pressure","Stable numb lip with no tooth anesthesia; Tinnitus, confusion, tremor, and falling blood pressure; Mild soreness at the injection site only; Cold sensitivity before anesthesia was given",S103; S99; S69; S70; S71; S72
ANES-008-Q1,ANES-008,Anesthesia,How should pediatric sedation-local anesthetic interactions be drilled for endodontic emergencies?,short_answer,Why should local anesthetic and sedative doses be recorded on a time-based record in a pediatric endodontic emergency?,"Because local anesthetic toxicity and sedation depth are cumulative safety problems. Time-based documentation tracks milligrams, sedative layering, patient response, and when a dose has reached peak effect before more drug is given.",,S99; S123; S72; S73; S103
ANES-008-Q2,ANES-008,Anesthesia,How should pediatric sedation-local anesthetic interactions be drilled for endodontic emergencies?,multiple_choice,A sedated child remains painfully responsive during emergency pulpotomy after several injections and is nearing the calculated local anesthetic ceiling. What is the best board-level response?,"Stop, stage emergency care, or refer to an appropriately monitored setting","Give more cartridges because sedation keeps the child still; Stop, stage emergency care, or refer to an appropriately monitored setting; Use antibiotics instead of diagnosis; Assume quiet behavior proves pulpal anesthesia",S99; S123; S72; S73; S103
SED-001-Q1,SED-001,Sedation And Emergency Planning,What are the nitrous and oral sedation boundaries when profound anesthesia cannot be achieved?,short_answer,Why is oral sedation not a substitute for local anesthesia in a hot endodontic tooth?,"Sedation may reduce anxiety and improve cooperation, but it does not create pulpal anesthesia or source control. The tooth still needs adequate local anesthesia, staged care, referral, or a more appropriate monitored setting.",,S7; S17; S69; S72; S73; S122
SED-001-Q2,SED-001,Sedation And Emergency Planning,What are the nitrous and oral sedation boundaries when profound anesthesia cannot be achieved?,multiple_choice,Which scenario crosses the ADA minimal-sedation boundary into moderate-sedation framing?,Multiple enteral sedative drugs during one appointment,Single enteral drug at or below MRD with proper monitoring; Nitrous oxide as a single agent with local anesthesia; Multiple enteral sedative drugs during one appointment; Cold testing before access,S7; S17; S69; S72; S73; S122
SED-002-Q1,SED-002,Sedation And Emergency Planning,How should pregnancy affect nitrous oxide or sedation decisions for endodontic care?,short_answer,What is the board-safe distinction between local anesthesia and nitrous/sedation in pregnancy?,"Needed dental treatment with appropriate local anesthesia is generally supported during pregnancy, but nitrous or sedation is a separate risk-management decision requiring gestational-age screening, obstetric consultation when indicated, and rescue-capable monitoring.",,S100; S72; S73; S122; S7
SED-002-Q2,SED-002,Sedation And Emergency Planning,How should pregnancy affect nitrous oxide or sedation decisions for endodontic care?,multiple_choice,A pregnant patient in the first trimester has deferrable elective endodontic treatment and asks for nitrous because of mild anxiety. What is the best board-level frame?,"Avoid elective first-trimester nitrous framing and defer, stage, or consult as appropriate","Nitrous is always acceptable because it clears quickly; Avoid elective first-trimester nitrous framing and defer, stage, or consult as appropriate; Use oral sedation at home before the appointment; Skip local anesthesia to reduce fetal exposure",S100; S72; S73; S122; S7
SED-003-Q1,SED-003,Sedation And Emergency Planning,How should breastfeeding affect nitrous oxide or procedural sedation choices for endodontic care?,short_answer,Why is a universal pump-and-dump instruction after dental sedation a weak board answer for a breastfeeding patient?,"Breastfeeding interruption depends on the exact drug, dose, route, maternal recovery, infant age, prematurity, medical fragility, and repeated sedative or opioid exposure. Many brief exposures do not require routine interruption, but midazolam, opioids, and vulnerable infants need specific planning.",,S135; S136; S137; S121; S122; S124; S72
SED-003-Q2,SED-003,Sedation And Emergency Planning,How should breastfeeding affect nitrous oxide or procedural sedation choices for endodontic care?,multiple_choice,A breastfeeding patient with a healthy term infant needs nitrous oxide for urgent pulpotomy. Local anesthesia is profound and the office meets sedation requirements. Which frame is most appropriate?,"Use nitrous as support, confirm local anesthesia, and avoid reflex pump-and-dump advice after maternal recovery","Cancel endodontic treatment because breastfeeding is a contraindication; Use nitrous as support, confirm local anesthesia, and avoid reflex pump-and-dump advice after maternal recovery; Use codeine routinely afterward because nitrous has worn off; Skip local anesthesia because nitrous provides pulpal anesthesia",S135; S136; S137; S121; S122; S124; S72
SED-004-Q1,SED-004,Sedation And Emergency Planning,What should pediatric sedation emergency drills cover before endodontic sedation?,short_answer,Name six elements that should be rehearsed in a pediatric sedation emergency drill for endodontic care.,"Patient selection and stop criteria, dose/time documentation, airway obstruction or apnea rescue, oxygen/suction/positive-pressure ventilation, emergency medications/LAST response, EMS activation and handoff, and recovery/discharge criteria.",,S123; S72; S99; S103; S158; S159
SED-004-Q2,SED-004,Sedation And Emergency Planning,What should pediatric sedation emergency drills cover before endodontic sedation?,multiple_choice,A minimally sedated child becomes difficult to arouse and obstructs during urgent pulpotomy. What is the best board-level response?,Rescue the deeper-than-intended sedation with airway/oxygen support and activate the office emergency plan,Finish the pulpotomy quickly before calling for help; Rescue the deeper-than-intended sedation with airway/oxygen support and activate the office emergency plan; Give more local anesthetic because the child is moving less; Discharge when the dental pain is gone,S123; S72; S99; S103; S158; S159
SED-005-Q1,SED-005,Sedation And Emergency Planning,How should less-common anxiolytics be selected for breastfeeding endodontic patients?,short_answer,"Why is repeated diazepam a weaker breastfeeding anxiolysis choice than a short, monitored lorazepam plan in many endodontic settings?","Diazepam and its active metabolite have long half-lives and can accumulate with repeated dosing, making infant sedation and poor feeding monitoring more important. Lorazepam has low milk levels and a shorter half-life, though infant monitoring and sedation rules still apply.",,S135; S148; S149; S150; S72
SED-005-Q2,SED-005,Sedation And Emergency Planning,How should less-common anxiolytics be selected for breastfeeding endodontic patients?,multiple_choice,A breastfeeding patient with a newborn asks for an oral anxiolytic before urgent endodontic drainage. Which plan best matches the board frame?,"Drug-specific lactation review, infant-risk screening, monitored shortest-acting reasonable anxiolysis or referral, and written infant monitoring","Repeated diazepam for several days plus codeine after treatment; Drug-specific lactation review, infant-risk screening, monitored shortest-acting reasonable anxiolysis or referral, and written infant monitoring; Hydroxyzine every night until the tooth is restored because antihistamines are always safer; No local anesthesia because sedation will make the procedure tolerable",S135; S148; S149; S150; S72
SED-006-Q1,SED-006,Sedation And Emergency Planning,How should state pediatric sedation permits be checked before urgent endodontic sedation?,short_answer,Why is ADA sedation guideline compliance not enough by itself before providing pediatric endodontic sedation?,"ADA guidance sets safety principles, but state dental board rules determine whether the dentist, office, provider arrangement, patient age, and sedation depth are legally permitted. State pediatric endorsement, life-support, inspection, documentation, and drill requirements may be stricter.",,S72; S123; S158; S159
SED-006-Q2,SED-006,Sedation And Emergency Planning,How should state pediatric sedation permits be checked before urgent endodontic sedation?,multiple_choice,An office has a moderate sedation permit for adults and wants to sedate a 9-year-old for urgent pulpotomy. What is the best board-level next step?,Check the state pediatric sedation/endorsement rule and refer or stage care if the office is not authorized and rescue-ready,Proceed because urgent endodontic pain overrides permit limits; Check the state pediatric sedation/endorsement rule and refer or stage care if the office is not authorized and rescue-ready; Send an oral sedative for home dosing so the visit is simpler; Use deeper sedation because a child is less cooperative,S72; S123; S158; S159
PAIN-001-Q1,PAIN-001,Pain Control,Why are NSAIDs with or without acetaminophen first-line for endodontic pain?,short_answer,Why does adding acetaminophen to an NSAID make pharmacologic sense for acute endodontic pain?,"NSAIDs reduce peripheral prostaglandin-mediated inflammatory pain, while acetaminophen acts through a different analgesic pathway. When both are safe, the combination can improve pain control without moving directly to opioids.",,S21; S22; S23
PAIN-001-Q2,PAIN-001,Pain Control,Why are NSAIDs with or without acetaminophen first-line for endodontic pain?,multiple_choice,Which plan best matches board-level pharmacologic management of endodontic toothache when definitive care is delayed and no contraindications are given?,NSAID alone or NSAID plus acetaminophen while arranging definitive dental care,Antibiotics alone; NSAID alone or NSAID plus acetaminophen while arranging definitive dental care; Routine opioid prescription before trying nonopioids; No analgesics because root canal treatment is needed,S21; S22; S23
PAIN-002-Q1,PAIN-002,Pain Control,"When, if ever, should opioids be used for endodontic pain?",short_answer,Why are opioids not first-line for most endodontic pain?,"They do not treat the inflammatory or infectious source, have important adverse effects and misuse/diversion risk, and NSAID-based regimens plus definitive dental care usually provide a better risk-benefit balance.",,S21; S22; S23; S25
PAIN-002-Q2,PAIN-002,Pain Control,"When, if ever, should opioids be used for endodontic pain?",multiple_choice,Which opioid plan best matches ADA/CDC-style board framing?,"Reserve opioids for rare rescue situations at the lowest effective dose, fewest tablets, and shortest duration after risk review","Give a week of opioids just in case pain worsens; Use opioids routinely for irreversible pulpitis; Reserve opioids for rare rescue situations at the lowest effective dose, fewest tablets, and shortest duration after risk review; Use opioids instead of local anesthesia for a hot tooth",S21; S22; S23; S25
PAIN-003-Q1,PAIN-003,Pain Control,Should occlusal reduction be routine for endodontic postoperative pain prevention?,short_answer,What is the board-level distinction between selective occlusal adjustment and routine occlusal reduction after endodontic treatment?,"Selective adjustment corrects a real high or traumatic contact. Routine occlusal reduction removes tooth/restorative structure from every endodontic tooth to prevent pain, which is not supported as a universal strategy.",,S24
PAIN-003-Q2,PAIN-003,Pain Control,Should occlusal reduction be routine for endodontic postoperative pain prevention?,multiple_choice,Which patient is the best candidate for occlusal adjustment as part of endodontic pain management?,A tooth with a clearly high provisional restoration and biting pain,Every molar after obturation; A tooth with no occlusal contact; A tooth with a clearly high provisional restoration and biting pain; An anterior tooth with no percussion or biting symptoms,S24
PAIN-004-Q1,PAIN-004,Pain Control,How should lactation affect endodontic analgesic and antibiotic choices?,short_answer,Why should breastfeeding not automatically stop when a nursing mother receives routine endodontic local anesthesia or common nonopioid analgesics?,"Drug-specific lactation guidance supports compatibility for common choices such as dental lidocaine, acetaminophen, and ibuprofen in typical use. The safer board frame is source control plus compatible medication selection and infant monitoring when needed, not reflex breastfeeding interruption.",,S115; S116; S117; S118; S119; S120; S121; S124; S1; S21; S22
PAIN-004-Q2,PAIN-004,Pain Control,How should lactation affect endodontic analgesic and antibiotic choices?,multiple_choice,Which medication plan best matches lactation-aware endodontic pain management when no contraindications are given?,"Use compatible source control with acetaminophen and/or ibuprofen when safe, reserving opioids for rare rescue situations","Avoid local anesthesia and prescribe antibiotics only; Use compatible source control with acetaminophen and/or ibuprofen when safe, reserving opioids for rare rescue situations; Use codeine routinely because dental pain is severe; Tell every breastfeeding patient to pump and discard milk after amoxicillin",S115; S116; S117; S118; S119; S120; S121; S124; S1; S21; S22
IMG-001-Q1,IMG-001,Imaging,When is CBCT justified in endodontics?,short_answer,What is the main board-level justification for CBCT in endodontics?,"A specific diagnostic or treatment-planning question remains after conventional assessment, and CBCT is likely to change management.",,S8; S9; S16; S64; S66; S67
IMG-001-Q2,IMG-001,Imaging,When is CBCT justified in endodontics?,multiple_choice,Which CBCT use is least defensible?,Routine screening of all endodontic patients,Suspected invasive cervical resorption; Pre-surgical apical planning; Routine screening of all endodontic patients; Nonhealing case with inconclusive periapicals,S8; S9; S16; S64; S66; S67
WL-001-Q1,WL-001,Working Length,Why determine working length with both electronic and radiographic information?,short_answer,Why should working length not be set solely from the radiographic apex?,"The radiographic apex is a 2D image landmark and may not coincide with the apical foramen or apical constriction. Working length should reconcile apex locator data, radiographs, anatomy, and clinical findings.",,S11; S12; S26; S42
WL-001-Q2,WL-001,Working Length,Why determine working length with both electronic and radiographic information?,multiple_choice,Which working-length approach best matches AAE treatment standards?,Use an electronic apex locator with verifying radiographs and apical anatomy,Use a single preoperative radiograph only; Instrument all canals to the radiographic apex; Use an electronic apex locator with verifying radiographs and apical anatomy; Skip working length if CBCT was taken,S11; S12; S26; S42
WL-002-Q1,WL-002,Working Length,Why maintain apical patency during cleaning and shaping?,short_answer,What is the difference between maintaining apical patency and over-instrumenting the apex?,Patency uses a small flexible file passively to keep the apical pathway free of debris; over-instrumentation forces or enlarges beyond the apex and can injure periapical tissues or extrude debris.,,S13; S14; S15
WL-002-Q2,WL-002,Working Length,Why maintain apical patency during cleaning and shaping?,multiple_choice,Which situation is a poor candidate for routine apical patency with a file beyond the constriction?,Immature open apex with uncontrolled extrusion risk,Mature canal where a small file passes passively; Canal where debris blockage is developing; Immature open apex with uncontrolled extrusion risk; Need to confirm a stable working length,S13; S14; S15
WL-003-Q1,WL-003,Working Length,How should working length be handled in open or immature apices?,short_answer,Why is the usual mature-tooth working-length heuristic less reliable in an immature open apex?,"A normal apical constriction or apical stop may be absent, so electronic, tactile, and radiographic findings must be interpreted cautiously and the plan modified to prevent extrusion.",,S7; S11; S12; S26; S42; S44
WL-003-Q2,WL-003,Working Length,How should working length be handled in open or immature apices?,multiple_choice,Which finding most strongly changes routine working-length and obturation logic?,Open apex greater than 1.5 mm with no apical stop,Closed mature apex with stable EAL and cone fit; Open apex greater than 1.5 mm with no apical stop; Straight canal in an anterior tooth; A rubber stop that is hard to see,S7; S11; S12; S26; S42; S44
WL-004-Q1,WL-004,Working Length,What should be done when EAL and radiographic working length disagree?,short_answer,What is the board-safe response to a major mismatch between EAL and radiographic working length?,"Stop and troubleshoot the discrepancy rather than averaging: verify reference point, file fit, canal path, patency/blockage, fluids or medicaments, anatomy, resorption, and perforation; use angled radiographs, CBCT, staging, or referral if needed.",,S7; S8; S11; S12; S26; S42
WL-004-Q2,WL-004,Working Length,What should be done when EAL and radiographic working length disagree?,multiple_choice,An apex locator repeatedly reads apex with the file far short radiographically during retreatment. What concern should be on the differential?,A false communication such as perforation or resorption,The tooth is automatically ready to obturate; A false communication such as perforation or resorption; The radiograph is always wrong; Antibiotics are indicated,S7; S8; S11; S12; S26; S42
WL-005-Q1,WL-005,Working Length,How should suspected resorption or perforation change working-length decisions?,short_answer,Why can an apex locator read apex at a perforation?,Because the device detects electrical communication with periodontal tissues; a perforation or resorptive defect can create that communication away from the true apical constriction.,,S7; S8; S26; S33; S42; S43; S45
WL-005-Q2,WL-005,Working Length,How should suspected resorption or perforation change working-length decisions?,multiple_choice,"During post removal, the EAL suddenly reads apex in the middle third and bleeding appears. What is the safest next step?","Stop, confirm possible perforation/resorption with imaging and clinical assessment, and repair or refer","Prepare the canal to that new length; Obturate immediately to seal the bleeding; Stop, confirm possible perforation/resorption with imaging and clinical assessment, and repair or refer; Prescribe antibiotics and continue shaping",S7; S8; S26; S33; S42; S43; S45
OBT-001-Q1,OBT-001,Obturation,When is a canal ready to obturate?,short_answer,What are three prerequisites before obturating a root canal?,"Adequate cleaning/shaping/irrigation, a stable working length with apical control/cone fit, and a canal that can be dried and sealed with a durable coronal plan.",,S11; S26; S37; S52; S54
OBT-001-Q2,OBT-001,Obturation,When is a canal ready to obturate?,multiple_choice,Which finding most strongly argues against obturating today?,Persistent canal exudate that prevents drying,Dry canal with stable cone fit; Persistent canal exudate that prevents drying; Master cone reaches working length with tug-back; Immediate coronal seal is available,S11; S26; S37; S52; S54
OBT-002-Q1,OBT-002,Obturation,How should warm vertical compaction and single-cone bioceramic obturation be compared?,short_answer,Why is warm vertical compaction not automatically the safest obturation choice?,"It increases gutta-percha flow into anatomy, but that same flow can extrude material when apical control is poor, especially with open, resorbed, transported, or neurovascular-proximity apices.",,S26; S37; S38; S39; S76; S81
OBT-002-Q2,OBT-002,Obturation,How should warm vertical compaction and single-cone bioceramic obturation be compared?,multiple_choice,Which statement best compares single-cone bioceramic obturation with warm vertical compaction?,"Technique choice depends on anatomy, cone fit, sealer system, apical control, and operator skill","Single-cone bioceramic always heals better; Warm vertical always heals better; Technique choice depends on anatomy, cone fit, sealer system, apical control, and operator skill; Obturation technique matters more than disinfection",S26; S37; S38; S39; S76; S81
